jurisdiction,state_abbr,state_name,jurisdiction_type,year,iecc_comm_vintage,iecc_comm_code_type,lag_model_code_yrs,no_statewide_code,home_rule,preemption_of_stricter_local,stretch_code_available,weakening_amendments,state_bps_adopted,state_bps_effective,state_bps_year_enacted,state_bps_first_compliance_year,state_bps_law_name,state_bps_law_id,state_bps_penalty_per_sqft,state_bps_penalty_per_tco2e,bps_adopted,bps_effective,bps_year_enacted,bps_first_compliance_year,years_since_bps,bps_metric,bps_covered_threshold_comm_sqft,bps_covered_threshold_public_sqft,bps_covered_threshold_mf_sqft,bps_covers_municipal,bps_ratchet,bps_penalty_per_sqft,bps_penalty_per_tco2e,bps_law_name,bps_law_id,bps_coalition_member,bps_coalition_launch_day,bps_coalition_joined_year,benchmarking_adopted,benchmarking_effective,benchmarking_year_enacted,benchmarking_first_reporting_year,years_since_benchmarking,benchmarking_threshold_sqft,audit_tuneup_req,any_policy_active,any_policy_effective
Annapolis,MD,Maryland,city,2021,2015,IECC,4,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2022,2015,IECC,4,0,0,0,1,0,1,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Annapolis,MD,Maryland,city,2023,2019,ASHRAE,3,0,0,0,1,0,1,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Annapolis,MD,Maryland,city,2024,2019,ASHRAE,3,0,0,0,1,0,1,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Annapolis,MD,Maryland,city,2025,2019,ASHRAE,3,0,0,0,1,0,1,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Aspen,CO,Colorado,city,2010,2006,IECC,3,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2011,2006,IECC,4,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2012,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2013,2006,IECC,6,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2014,2006,IECC,7,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2015,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2016,2006,IECC,9,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2017,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2018,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2019,2006,IECC,10,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2020,2006,IECC,13,0,1,0,1,0,0,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Aspen,CO,Colorado,city,2021,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,1,0
Aspen,CO,Colorado,city,2022,2006,IECC,13,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Aspen,CO,Colorado,city,2023,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Aspen,CO,Colorado,city,2024,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Aspen,CO,Colorado,city,2025,2021,IECC,1,0,1,0,1,0,1,0,2021,2026,Energy Performance for Buildings,HB21-1286,,,0,0,,,,,,,,,,,,,,1,1,2022,0,0,,,,,,1,0
Atlanta,GA,Georgia,city,2010,2006,IECC,3,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2015,2016,,25000,1,0,0
Atlanta,GA,Georgia,city,2011,2006,IECC,4,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2015,2016,,25000,1,0,0
Atlanta,GA,Georgia,city,2012,2006,IECC,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2015,2016,,25000,1,0,0
Atlanta,GA,Georgia,city,2013,2006,IECC,6,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2015,2016,,25000,1,0,0
