state,year,state_population,state_fta_total,state_fta_formula_total,state_fta_capital_grants,state_fta_formula_5307,state_fta_rural_5311,state_fta_enhanced_mobility,state_fta_good_repair,state_fta_bus_facilities,state_fta_planning,state_fta_per_capita,state_transit_ridership,state_transit_ridership_per_capita,state_transit_pmt,state_transit_vrh,state_transit_operating_expenses,state_transit_fare_revenue,state_transit_agencies,state_transit_funding,ntd_state_funding_operations,ntd_state_funding_capital,ntd_local_funding_operations,ntd_local_funding_capital,ntd_federal_funding_operations,ntd_federal_funding_capital,state_has_transit_authority,_ridership_backcast,_fta_data_quality
AK,2014,733391,42512039.0,41958205.0,-735880.0,13423862.0,8462534.0,1101774.0,18426377.0,543658.0,1001407.0,57.9664040055032,7691757.2139846785,10.487935104173188,,,,,,,,,,,,,0,1.0,complete
AK,2015,733391,64048623.0,63966305.0,82318.0,38994040.0,4880911.0,883490.0,18414851.0,793013.0,,87.33216387984035,7478097.291373992,10.19660357350171,,,,,,,,,,,,,0,1.0,complete
AK,2016,733391,79395784.0,65665813.0,13729971.0,17559617.0,10595216.0,166158.0,35034246.0,2310576.0,,108.25846512978752,7406877.317170431,10.099493063277885,,,,,,,,,,,,,0,1.0,complete
AK,2017,733391,68724552.0,65053633.0,2595325.0,9477003.0,9339497.0,1080189.0,29170020.0,15986924.0,1075594.0,93.7079293310117,7193217.394559745,9.808161532606405,,,,,,,,,,,,,0,1.0,complete
AK,2018,733391,66086152.0,64992721.0,0.0,29310725.0,9768688.0,162035.0,23003304.0,2747969.0,1093867.0,90.11039404628636,7050777.446152622,9.613940512158756,,,,,,,,,,,,,0,1.0,complete
AK,2019,733391,53438764.0,53469048.0,-30284.0,12885349.0,9494957.0,561016.0,28052670.0,2475056.0,,72.86531195501445,7050777.446152622,9.613940512158756,,,,,,,,,,,,,0,1.0,complete
AK,2020,733391,123285055.43,123126055.43,,48667138.0,35765510.43,914802.0,24410882.0,13367723.0,,168.1027656870619,3418558.761770968,4.661304490743639,,,,,,,,,,,,,0,1.0,complete
AK,2021,733391,119738683.0,118612614.0,-424579.0,37805924.0,59940487.0,469901.0,7003539.0,13392763.0,563522.0,163.2671835351129,4059538.529603025,5.535299082758072,,,,,,,,,,,,,0,1.0,complete
AK,2022,733391,135915662.0,132262751.0,-11637.0,80938186.0,25538263.0,574078.0,19163100.0,6049124.0,2146733.0,185.3249658095068,4236056.0,5.7759857974804705,46509640.0,522656.0,127370898.0,42195863.0,27.0,4211203.0,1574286.0,2636917.0,37616766.0,3288547.0,39508842.0,41898525.0,0,0.0,complete
AK,2023,733391,88251891.68,88015173.68,-466338.0,42749756.0,22412173.68,721954.0,15716521.0,6414769.0,703056.0,120.33402602431718,5089397.0,6.939541117903001,48522078.0,542019.0,132767301.0,45888293.0,27.0,2183918.0,1352809.0,831109.0,38761953.0,3241697.0,37828018.0,44368952.0,0,0.0,complete
AK,2024,733391,49994865.0,51332421.0,-1903281.0,23040980.0,10422722.0,177547.0,11294187.0,6396985.0,565725.0,68.16945531101418,5698061.0,7.769472218775523,51911138.0,567907.0,142405658.0,48620563.0,26.0,1363033.0,1083683.0,279350.0,45917942.0,6478962.0,36161087.0,72526786.0,0,0.0,complete
AK,2025,733391,134941434.92,134270711.92000002,,29583206.0,17668751.92,1129480.0,74790952.0,11098322.0,796913.0,183.9965787963037,,,,,,,,,,,,,,,0,,preliminary_fy2025
AL,2014,5024279,49357391.0,45854068.0,701000.0,26974353.0,14534264.0,3080000.0,,1265451.0,,9.823775908941364,8637533.055830233,1.7191587202522458,,,,,,,,,,,,,0,1.0,complete
AL,2015,5024279,60814061.0,60814061.0,,34479224.0,15143644.0,8749359.0,,2441834.0,,12.10403741511966,8397601.58205717,1.67140431135635,,,,,,,,,,,,,0,1.0,complete
AL,2016,5024279,54734798.0,54302551.0,137000.0,25399413.0,20641376.0,6513676.0,,1748086.0,,10.894060222372206,8317624.424132816,1.655486175057718,,,,,,,,,,,,,0,1.0,complete
AL,2017,5024279,62147317.0,62147317.0,0.0,29801635.0,20607569.0,7885458.0,,3852655.0,0.0,12.369400067153911,8077692.950359755,1.6077317661618225,,,,,,,,,,,,,0,1.0,complete
AL,2018,5024279,45415114.0,43088848.0,-230746.0,18158479.0,14836506.0,7053654.0,,3040209.0,2557012.0,9.03913058968262,7917738.634511047,1.5758954935645586,,,,,,,,,,,,,0,1.0,complete
AL,2019,5024279,69825615.99,65269406.0,,22352244.0,26115780.0,7001831.0,,9799551.0,556209.98,13.897639042338213,7917738.634511047,1.5758954935645586,,,,,,,,,,,,,0,1.0,complete
AL,2020,5024279,168261241.0,164392568.0,,88124746.0,62838769.0,5247789.0,,8181264.0,2107873.0,33.4896292582478,3838903.580368992,0.7640705423343314,,,,,,,,,,,,,0,1.0,complete
AL,2021,5024279,84820025.16,84518674.0,-119825.84,15368968.0,44025016.0,12906256.0,,12218434.0,,16.882029274250094,4558698.001688179,0.9073337690220186,,,,,,,,,,,,,0,1.0,complete
AL,2022,5024279,92596904.54,92594856.55,-492952.0,33930581.0,26385555.55,4561125.0,,27717595.0,494999.99,18.42988905273772,4756920.0,0.946786593658513,22739851.0,966581.0,91720315.0,4525753.0,36.0,538534.0,238534.0,300000.0,39818266.0,2535513.0,48139765.0,22378888.0,0,0.0,complete
AL,2023,5024279,94412040.85,86570884.45,1586016.0,49940744.0,21379769.45,7853624.0,,7396747.0,2403140.4,18.79116204534024,4939327.0,0.9830917033070815,21816441.0,1001056.0,93105539.0,4618801.0,37.0,200992.0,197362.0,3630.0,42848721.0,5644003.0,45710617.0,17678791.0,0,0.0,complete
AL,2024,5024279,128944802.6,117841846.0,830370.0,41964894.0,29231309.0,6440633.0,,40205010.0,3101490.6,25.66433961967478,5529534.0,1.1005626877010612,22388487.0,1065481.0,97115066.0,4947295.0,38.0,330370.0,265669.0,64701.0,46439965.0,6449706.0,44933231.0,30009149.0,0,0.0,complete
AL,2025,5024279,94055332.99,91442722.0,,35593778.0,36788463.0,12220844.0,,6839637.0,-0.01,18.72016521972605,,,,,,,,,,,,,,,0,,preliminary_fy2025
AR,2014,3011524,34353703.0,30688945.0,1046244.0,12630896.0,12169460.0,2452158.0,234178.0,3202253.0,2171106.0,11.407414651186576,7503228.127491581,2.491505339984533,,,,,,,,,,,,,0,1.0,complete
AR,2015,3011524,23148925.0,23148925.0,,8974807.0,12150981.0,,,2023137.0,,7.686780845844164,7294805.123950148,2.4222968583182958,,,,,,,,,,,,,0,1.0,complete
AR,2016,3011524,50940920.0,42537009.0,2046244.0,20738550.0,12390017.0,5057513.0,593361.0,3757568.0,4387937.0,16.915329248579788,7225330.789436338,2.3992273644295503,,,,,,,,,,,,,0,1.0,complete
AR,2017,3011524,32370279.0,29644026.0,0.0,10288854.0,12617956.0,2582274.0,0.0,4154942.0,2272363.0,10.748803263729592,7016907.785894904,2.3300188827633135,,,,,,,,,,,,,0,1.0,complete
AR,2018,3011524,15043027.0,12713221.0,,10985017.0,-2.0,0.0,687112.0,1041094.0,2329806.0,4.995154280689777,6877959.116867282,2.283879894985822,,,,,,,,,,,,,0,1.0,complete
AR,2019,3011524,64467788.0,61369038.0,,13141034.0,27347615.0,5205508.0,353440.0,15321441.0,2412237.0,21.40703112444065,6877959.116867282,2.283879894985822,,,,,,,,,,,,,0,1.0,complete
AR,2020,3011524,102038202.0,99550708.0,,45020860.0,50572965.0,-1.0,327597.0,3629287.0,2487494.0,33.88257971711333,3334768.0566629246,1.1073357066597924,,,,,,,,,,,,,0,1.0,complete
AR,2021,3011524,40810368.0,37976615.0,,19085800.0,10841668.0,2916660.0,332874.0,4799613.0,2545003.0,13.551400553341098,3960037.067287224,1.3149611516585038,,,,,,,,,,,,,0,1.0,complete
AR,2022,3011524,39993790.0,39480650.0,,14117496.0,13384778.0,231131.0,501558.0,11245687.0,0.0,13.28024946837548,4132228.0,1.3721384920060409,9117190.0,923952.0,64031547.0,7050046.0,15.0,3269624.0,2802226.0,467398.0,24413878.0,632918.0,28087450.0,12425224.0,0,0.0,complete
AR,2023,3011524,39351858.67,32265695.0,,4157689.0,19011269.0,7242952.0,0.0,1853785.0,6140473.0,13.067091170450576,4952976.0,1.6446742579504596,7483061.0,995021.0,77629142.0,10100355.0,15.0,3446198.0,2801574.0,644624.0,19908346.0,1132649.0,42048993.0,17554882.0,0,0.0,complete
AR,2024,3011524,71839108.0,68000544.0,,14637583.0,36483202.0,3999078.0,506749.0,12373932.0,3349707.0,23.854735343301265,5157345.0,1.7125365761654232,12660878.0,1007304.0,72403361.0,24139214.0,15.0,4678768.0,3581602.0,1097166.0,20561940.0,551734.0,28330080.0,6480295.0,0,0.0,complete
AR,2025,3011524,50329607.0,50149607.0,,20650256.0,18663238.0,0.0,483280.0,10352833.0,180000.0,16.71233800560779,,,,,,,,,,,,,,,0,,preliminary_fy2025
AZ,2014,7151502,253017485.0,192352291.0,57364524.0,150389306.0,13612759.0,11361916.0,3325847.0,13662463.0,2447192.0,35.3796286430459,97119407.60143112,13.58028112156455,,,,,,,,,,,,,0,1.0,complete
AZ,2015,7151502,84593116.0,81078546.0,3514570.0,62715218.0,11415501.0,5660419.0,90.0,1287318.0,,11.828720176544731,94421646.27916916,13.20305109040998,,,,,,,,,,,,,0,1.0,complete
AZ,2016,7151502,195685559.0,177622569.0,10982234.0,131028767.0,19390941.0,10227325.0,7256634.0,9718902.0,3422334.0,27.362861535940283,93522392.50508185,13.077307746691792,,,,,,,,,,,,,0,1.0,complete
AZ,2017,7151502,95274983.0,89444037.0,2000000.0,67635237.0,13052057.0,4279090.0,,4477653.0,2469017.0,13.322373817416258,90824631.18281986,12.700077715537219,,,,,,,,,,,,,0,1.0,complete
AZ,2018,7151502,221620158.0,215368155.0,-295024.0,176980215.0,15214544.0,7397829.0,7030741.0,8744826.0,6595367.0,30.98931637018349,89026123.63464521,12.44859102810084,,,,,,,,,,,,,0,1.0,complete
AZ,2019,7151502,247409032.0,169208018.0,74643426.0,106871869.0,19428905.0,11049203.0,8283263.0,23574778.0,3150681.0,34.59539436610659,89026123.63464521,12.44859102810084,,,,,,,,,,,,,0,1.0,complete
AZ,2020,7151502,573122087.0,569717421.0,-484228.0,465808464.0,62427838.0,8047905.0,12056437.0,21376777.0,3361355.0,80.14010021950634,43164181.15619162,6.035680498473134,,,,,,,,,,,,,0,1.0,complete
AZ,2021,7151502,714841469.13,490184484.13,219922862.0,429596872.0,16850724.13,9321131.0,11345640.0,23070117.0,3257015.0,99.95682992607706,51257465.12297755,7.167370591936847,,,,,,,,,,,,,0,1.0,complete
AZ,2022,7151502,418010503.0,133667981.0,279611376.0,91856528.0,22665644.0,12407404.0,0.0,6738405.0,4191480.0,58.45072867210273,53486250.0,7.479023287695368,244428231.0,4668332.0,534505816.0,27521383.0,39.0,6288588.0,6288588.0,0.0,187813748.0,240825438.0,338406212.0,203404169.0,0,0.0,complete
AZ,2023,7151502,400459578.0,105281178.0,290241297.0,42221263.0,22903238.0,6227776.0,0.0,33928901.0,4269950.0,55.99656939199625,59021226.0,8.25298321946914,282034165.0,4783612.0,596099253.0,38127176.0,41.0,6329141.0,6278073.0,51068.0,473861634.0,189296654.0,114271915.0,174555225.0,0,0.0,complete
AZ,2024,7151502,138579487.87,133502228.87,0.0,84134649.0,22033009.87,10547937.0,487239.0,16299394.0,3952948.0,19.377675888226,66619704.0,9.315484215763346,291256383.0,5068520.0,658955890.0,43282960.0,45.0,5839617.0,5775391.0,64226.0,590042395.0,200346627.0,72710792.0,166573132.0,0,0.0,complete
AZ,2025,7151502,238646109.0,209468732.0,23326721.0,104289995.0,26036621.0,12494619.0,19575878.0,47071619.0,4679720.0,33.37006813393886,,,,,,,,,,,,,,,0,,preliminary_fy2025
CA,2014,39538223,2500991273.0,1663216573.0,756521272.0,1244609507.0,29225984.0,75467297.0,272658971.0,41254814.0,66431071.0,63.25502471368023,1281343755.9338949,32.407722419237075,,,,,,,,,,,,,1,1.0,complete
CA,2015,39538223,1814414270.0,1160202315.0,585050149.0,832165801.0,5192379.0,104020663.0,210399215.0,8424257.0,63523451.0,45.89013193637964,1245750873.82462,31.5075079075916,,,,,,,,,,,,,1,1.0,complete
CA,2016,39538223,2527454803.0,1737001843.0,635418619.0,1238580135.0,31548794.0,68689674.0,268564589.0,129618651.0,132982858.0,63.92433982174667,1233886579.7881951,31.207436403709774,,,,,,,,,,,,,1,1.0,complete
CA,2017,39538223,2662852602.0,1646353491.0,964641465.0,881972437.0,55809234.0,135654531.0,515289138.0,57628151.0,49048419.0,67.34881843324116,1198293697.6789205,30.30722189206431,,,,,,,,,,,,,1,1.0,complete
CA,2018,39538223,2463914736.25,1670264767.25,636549476.0,944533590.0,29796019.0,80747506.0,510571353.0,104616299.25,158650166.0,62.317285636483966,1174565109.6060705,29.707078884300657,,,,,,,,,,,,,1,1.0,complete
CA,2019,39538223,2801341152.64,2002797293.77,653861608.0,1383459265.77,648980.0,75655200.0,441771453.0,101262395.0,141658106.0,70.85146827767146,1174565109.6060705,29.707078884300657,,,,,,,,,,,,,1,1.0,complete
CA,2020,39538223,7068214689.6,5788197872.6,1201596276.0,4953817472.6,126952473.0,134713947.0,442636533.0,130077447.0,74534988.0,178.7691543345284,569486113.7483977,14.403432186327587,,,,,,,,,,,,,1,1.0,complete
CA,2021,39538223,6165792232.58,4727349846.13,1407949627.45,4091265942.01,32728707.0,86902310.0,420978471.0,95474416.12,25521032.0,155.94510235272838,676264760.0762223,17.10407572126401,,,,,,,,,,,,,1,1.0,complete
CA,2022,39538223,5804635155.19,5113686933.440001,656827097.0,4266034318.44,141624873.0,117454995.0,482079934.0,106492813.0,27646232.75,146.81072427534235,705670207.0,17.847797737394522,3640054259.0,38643364.0,7867644472.0,695165385.0,212.0,1982683292.0,985731582.0,996951710.0,2098650120.0,2548073025.0,3677710548.0,2062351716.0,1,0.0,complete
CA,2023,39538223,3389447646.37,1589321393.37,1764425151.0,951244864.25,39837318.12,39411737.0,425828259.0,132999215.0,27988364.0,85.72584676782262,835540484.0,21.1324743653755,4420183623.0,41273054.0,8994350700.0,914573638.0,209.0,2796530945.0,1893913945.0,902617000.0,3822901525.0,1776472017.0,1912300802.0,1846872185.0,1,0.0,complete
CA,2024,39538223,3578163774.28,2545362689.16,986804977.12,1568284467.16,42970568.0,62021648.0,628268123.0,243817883.0,28807963.0,90.49885156143716,930092819.0,23.523890261835994,4924570140.0,43234301.0,9951439498.0,1025853743.0,209.0,3186351518.0,2000937630.0,1185413888.0,3952308211.0,2264979301.0,1893703084.0,1460764153.0,1,0.0,complete
CA,2025,39538223,4004006275.89,3263580182.0,705047729.0,2159086943.0,45110286.0,13245902.0,800637741.0,245499310.0,29020188.89,101.26925218389304,,,,,,,,,,,,,,,1,,preliminary_fy2025
CO,2014,5773714,249791965.0,94245027.0,154800000.0,66151645.0,11615811.0,5360304.0,8700325.0,2416942.0,746938.0,43.26365403620616,153384537.82832,26.566008955123166,,,,,,,,,,,,,1,1.0,complete
CO,2015,5773714,217006291.0,66574291.0,150432000.0,56707921.0,,754199.0,7594603.0,1517568.0,,37.5852165521188,149123856.22197777,25.8280642619253,,,,,,,,,,,,,1,1.0,complete
CO,2016,5773714,424921835.0,177640267.0,247144237.0,103459517.0,19154573.0,1865852.0,32392124.0,20768201.0,,73.59592716230836,147703629.0198637,25.582082697526012,,,,,,,,,,,,,1,1.0,complete
CO,2017,5773714,141970373.0,129831973.0,6349000.0,96291847.0,10599024.0,5261985.0,8056392.0,9622725.0,3923515.0,24.589089968779195,143442947.41352147,24.844138004328144,,,,,,,,,,,,,1,1.0,complete
CO,2018,5773714,152184151.0,149605682.0,,102966167.0,4968316.0,3304297.0,23034395.0,15332507.0,2605698.0,26.358103466849933,140602493.00929332,24.352174875529567,,,,,,,,,,,,,1,1.0,complete
CO,2019,5773714,380306466.0,165431042.0,213249750.0,89506652.0,23222521.0,7437376.0,16306232.0,28958261.0,803488.0,65.86860138898463,140602493.00929332,24.352174875529567,,,,,,,,,,,,,1,1.0,complete
CO,2020,5773714,426529018.0,430929516.0,-5447312.0,364423168.0,29680345.0,2868179.0,14713863.0,19243961.0,1919654.0,73.87428923566355,68170905.70147556,11.807115091165853,,,,,,,,,,,,,1,1.0,complete
CO,2021,5773714,693736270.0,693827847.0,-4855416.0,534680864.0,118233049.0,7963971.0,0.0,32949963.0,2419383.0,120.15424906741136,80952950.52050222,14.02094917075945,,,,,,,,,,,,,1,1.0,complete
CO,2022,5773714,192368027.0,196341695.0,-6720549.0,144810742.0,20000514.0,4037165.0,17474458.0,10018816.0,2910540.0,33.31790022851842,84472959.0,14.630610210342944,389157459.0,5291165.0,865800575.0,87377853.0,50.0,27291047.0,13269176.0,14021871.0,105706471.0,30580219.0,360419628.0,36734438.0,1,0.0,complete
CO,2023,5773714,331172213.0,326834388.0,0.0,248881662.0,11049428.0,4274976.0,53183570.0,9444752.0,2617473.0,57.35861059276576,91119239.0,15.781737543633094,409541067.0,5381215.0,985735579.0,76345506.0,49.0,27721077.0,23292695.0,4428382.0,158424982.0,54574667.0,260485407.0,94090628.0,1,0.0,complete
CO,2024,5773714,107038789.0,102982029.0,,55621887.0,5578678.0,10430812.0,0.0,31350652.0,3472579.0,18.53898357279214,92006729.0,15.935449694945056,407963884.0,5542997.0,1133370650.0,77801778.0,48.0,30626383.0,13775316.0,16851067.0,165287246.0,46471612.0,94309934.0,55368266.0,1,0.0,complete
CO,2025,5773714,369354441.46,213375866.46,151999999.0,8515314.46,32980278.0,6907306.0,70085032.0,94887936.0,3459287.0,63.97172451908771,,,,,,,,,,,,,,,1,,preliminary_fy2025
CT,2013,3605944,1232000.0,1232000.0,,1232000.0,,,,,,0.3416581067260057,50153596.98319406,13.908590089916554,,,,,,,,,,,,,1,1.0,incomplete_fy2013_usaspending
CT,2014,3605944,383747549.0,275324133.0,107874455.0,269446250.0,5877883.0,,,,,106.42082877604312,50622322.18864447,14.038576913186802,,,,,,,,,,,,,1,1.0,complete
CT,2015,3605944,174370438.0,59000873.0,74890815.0,55423142.0,,3577731.0,,,,48.356391003299,49216146.57229324,13.648616443376058,,,,,,,,,,,,,1,1.0,complete
CT,2016,3605944,209014857.0,200693755.0,4100000.0,137959545.0,3073555.0,4548105.0,44315981.0,10796569.0,,57.96397753265165,48747421.36684282,13.51862962010581,,,,,,,,,,,,,1,1.0,complete
CT,2017,3605944,307767227.0,176879188.0,0.0,167295156.0,6434429.0,3149603.0,,,1409017.0,85.34997409832211,47341245.75049159,13.128669150295066,,,,,,,,,,,,,1,1.0,complete
CT,2018,3605944,301814842.34,301731635.34000003,-214466.0,154270872.0,492266.34,3469363.0,126000000.0,17499134.0,297673.0,83.69925942832168,46403795.339590766,12.86869550375457,,,,,,,,,,,,,1,1.0,complete
CT,2019,3605944,44900264.0,38956762.0,4499500.0,18937939.0,9837505.0,3181318.0,,7000000.0,1444002.0,12.451736355306682,46403795.339590766,12.86869550375457,,,,,,,,,,,,,1,1.0,complete
CT,2020,3605944,333312814.84,328019731.84000003,0.0,250789253.84,10343873.0,2691801.0,60506484.0,3688320.0,2663084.0,92.43427375466727,22498809.861619763,6.239367516971912,,,,,,,,,,,,,1,1.0,complete
CT,2021,3605944,374822151.0,371964728.0,-292892.0,261259045.0,267290.0,3261248.0,89628081.0,17549064.0,3150315.0,103.94563836820538,26717336.71067347,7.409248926404145,,,,,,,,,,,,,1,1.0,complete
CT,2022,3605944,457430435.66,457497306.66,-199806.0,361463161.0,7239422.66,6796640.0,37993985.0,44004098.0,,126.85455893380484,27879064.0,7.731419012608072,132633072.0,2567146.0,366320175.0,23466043.0,21.0,316219312.0,309070865.0,7148447.0,3369642.0,87135.0,30901586.0,23806844.0,1,0.0,complete
CT,2023,3605944,989671484.0,985521381.0,-123108.0,925027117.0,302845.0,1174419.0,53500000.0,5517000.0,4277306.0,274.4555888832439,40962290.0,11.359657831624673,185183013.0,2719624.0,376431291.0,12099861.0,20.0,358756482.0,349567501.0,9188981.0,3838137.0,163170.0,17745634.0,13408839.0,1,0.0,complete
CT,2024,3605944,301223829.0,298773829.0,0.0,92826857.0,10302111.0,4924423.0,164283318.0,26437120.0,450000.0,83.5353596728069,34721073.0,9.628844208340452,166294580.0,2754296.0,376312151.0,35579466.0,20.0,334934546.0,318892205.0,16042341.0,3908908.0,0.0,19566868.0,28547703.0,1,0.0,complete
CT,2025,3605944,302420731.0,302420731.0,0.0,97172399.0,0.0,4959332.0,121523200.0,78765800.0,0.0,83.8672844059697,,,,,,,,,,,,,,,1,,preliminary_fy2025
DC,2014,689545,213732057.0,13631209.0,197730449.0,13228131.0,,403078.0,,,473108.0,309.9609989195774,288749714.767648,418.7539823617719,,,,,,,,,,,,,1,1.0,complete
DC,2015,689545,893865166.0,875564326.0,,438334439.0,,3116638.0,404976376.0,29136873.0,528299.0,1296.3115764743418,280728889.3574355,407.1219272961671,,,,,,,,,,,,,1,1.0,complete
DC,2016,689545,339899877.0,336691922.0,,175065569.0,,5261276.0,147414030.0,8951047.0,1280730.0,492.933567787454,278055280.88736475,403.2445756076322,,,,,,,,,,,,,1,1.0,complete
DC,2017,689545,313047757.39,306960582.0,0.0,151050518.0,,475000.0,145511301.0,9923763.0,214845.39,453.99177340130086,270034455.4771523,391.6125205420274,,,,,,,,,,,,,1,1.0,complete
DC,2018,689545,353707953.66,346913317.66,-3.0,162066630.66,,5959727.0,163962297.0,14924663.0,,512.9584779238484,264687238.53701067,383.85781716495757,,,,,,,,,,,,,1,1.0,complete
DC,2019,689545,355171449.0,353313924.0,,182833220.0,,-618843.0,156626421.0,14473126.0,,515.0808852214141,264687238.53701067,383.85781716495757,,,,,,,,,,,,,1,1.0,complete
DC,2020,689545,1226254010.0,1217190978.0,,1040080441.0,,7343154.0,144846210.0,24921173.0,1696845.0,1778.352406296906,128333206.5633991,186.1128810496764,,,,,,,,,,,,,1,1.0,complete
DC,2021,689545,2274834049.0,2265366524.0,,2100001629.0,,1333915.0,148936533.0,15094447.0,-31896.0,3299.03639211364,152395682.79403645,221.00904624649073,,,,,,,,,,,,,1,1.0,complete
DC,2022,689545,596764119.0,586813495.0,,329938102.0,,6901542.0,227908585.0,22065266.0,960538.0,865.4462275848567,159022175.0,230.61899513447273,672662252.0,7811598.0,2262907979.0,214295897.0,3.0,1110958048.0,559167708.0,551790340.0,808218148.0,1008146616.0,692710060.0,390493168.0,1,0.0,complete
DC,2023,689545,472381048.0,460958388.0,,218337473.0,,95012.0,231690263.0,10835640.0,575218.0,685.06195824783,233630598.0,338.8184933543134,916508444.0,8948272.0,2678187807.0,292443306.0,3.0,1316803862.0,695248564.0,621555298.0,1012847760.0,1093923552.0,689483449.0,510816694.0,1,0.0,complete
DC,2024,689545,434199599.94,422824434.0,,176325534.0,,10226792.0,224468992.0,11803116.0,,629.6900128925596,264912808.0,384.1849451449869,1153980970.0,10010131.0,3004388784.0,356308843.0,3.0,1361046392.0,846932677.0,514113715.0,1243337589.0,907823380.0,583803726.0,437372572.0,1,0.0,complete
DC,2025,689545,8715353.87,-3750523.13,,3843047.0,,-49.13,-9196.0,-7584325.0,1866133.0,12.639282236837332,,,,,,,,,,,,,,,1,,preliminary_fy2025
DE,2014,989948,31269212.0,26378286.0,4550000.0,24192334.0,1755865.0,430087.0,,,,31.586721726797773,12432715.009753196,12.558957652071822,,,,,,,,,,,,,1,1.0,complete
DE,2015,989948,15716604.0,14326858.0,720941.0,8049403.0,1832998.0,1530048.0,2914409.0,,668805.0,15.87619147672403,12087361.815037828,12.210097717292047,,,,,,,,,,,,,1,1.0,complete
DE,2016,989948,39754506.0,37601959.0,1483742.0,32353227.0,982252.0,939395.0,,3327085.0,668805.0,40.15817598500123,11972244.08346604,12.093811072365458,,,,,,,,,,,,,1,1.0,complete
DE,2017,989948,19095923.15,18269489.0,0.0,12022567.0,2669474.0,827943.0,,2749505.0,826434.15,19.28982446552748,11626890.888750672,11.744951137585684,,,,,,,,,,,,,1,1.0,complete
DE,2018,989948,22903911.76,22285219.0,0.0,17048657.0,1508630.0,698596.0,1452336.0,1577000.0,618692.76,23.13647965347675,11396655.425607096,11.512377847732504,,,,,,,,,,,,,1,1.0,complete
DE,2019,989948,42661579.08,42151413.0,0.0,23522966.0,2355247.0,827943.0,2600000.0,12845257.0,510166.08,43.09476768476728,11396655.425607096,11.512377847732504,,,,,,,,,,,,,1,1.0,complete
DE,2020,989948,98334215.23,97804768.0,0.0,86423607.0,6931222.0,449616.0,730973.0,3269350.0,529447.23,99.3327076068642,5525651.115445864,5.5817589564763646,,,,,,,,,,,,,1,1.0,complete
DE,2021,989948,65097041.42,63563811.0,-110.16,32924941.0,20963709.0,614999.0,4674562.0,4385600.0,765648.58,65.75804125065154,6561710.6995919645,6.628338760815684,,,,,,,,,,,,,1,1.0,complete
DE,2022,989948,91667556.54,90656121.0,,66852887.0,11208054.0,1032125.0,,11563055.0,1011435.54,92.59835520653613,6847028.0,6.916553192692949,52334066.0,923788.0,149048463.0,16142534.0,2.0,74128398.0,60199214.0,13929184.0,0.0,0.0,56868594.0,20594841.0,1,0.0,complete
DE,2023,989948,48603802.74,47979093.0,-1822.47,38301900.0,3664697.0,1046697.0,2485799.0,2480000.0,626532.21,49.09732909203312,8374682.0,8.459719096356576,62491360.0,950471.0,156838720.0,16817304.0,2.0,86286501.0,78313463.0,7973038.0,0.0,0.0,42209172.0,15740522.0,1,0.0,complete
DE,2024,989948,19242278.99,17486056.0,,2345328.0,532638.0,1408661.0,,13199429.0,1756222.99,19.43766641278128,9003997.0,9.09542420409961,66211546.0,962639.0,164722947.0,17237432.0,2.0,117416889.0,112091995.0,5324894.0,0.0,0.0,16204559.0,7540818.0,1,0.0,complete
DE,2025,989948,49092695.0,48323096.0,,13406273.0,5449837.0,1881994.0,4599988.0,22985004.0,769599.0,49.59118559762735,,,,,,,,,,,,,,,1,,preliminary_fy2025
FL,2013,21538187,4384405.0,4384405.0,,4384405.0,,,,,,0.2035642554315272,280844534.5234442,13.039376736929816,,,,,,,,,,,,,1,1.0,incomplete_fy2013_usaspending
FL,2014,21538187,394693675.0,357123280.0,9975788.0,278850338.0,15901933.0,14400763.0,37006256.0,10963990.0,18376140.0,18.325297064232934,283469249.7993642,13.161240070919813,,,,,,,,,,,,,1,1.0,complete
FL,2015,21538187,483054776.0,453982084.0,19106155.0,325973155.0,5042595.0,25770315.0,61529171.0,35666848.0,9199720.0,22.42782904614952,275595103.9716041,12.79565006894982,,,,,,,,,,,,,1,1.0,complete
FL,2016,21538187,490645081.0,336573574.0,142106474.0,211473649.0,16867396.0,26465358.0,63696917.0,18070254.0,7413434.0,22.7802405559948,272970388.6956841,12.67378673495982,,,,,,,,,,,,,1,1.0,complete
FL,2017,21538187,471274507.13,457586835.13,13687672.0,345976982.13,16296527.0,21643205.0,35042391.0,38627730.0,,21.880881019837,265096242.86792395,12.308196732989826,,,,,,,,,,,,,1,1.0,complete
FL,2018,21538187,449183270.0,408700913.0,31582731.0,304718676.0,1566406.0,32692243.0,42424788.0,27298800.0,9520446.0,20.85520336507432,259846812.31608385,12.064470065009829,,,,,,,,,,,,,1,1.0,complete
FL,2019,21538187,505937396.0,495332266.0,2924146.0,362300272.0,16404522.0,1467491.0,70256003.0,44903978.0,,23.49024994536448,259846812.31608385,12.064470065009829,,,,,,,,,,,,,1,1.0,complete
FL,2020,21538187,1454648572.0,1309925084.0,138183098.0,1137784413.0,72617531.0,4903033.0,50292457.0,44327650.0,0.0,67.53811599834285,125986333.24416187,5.849440031519918,,,,,,,,,,,,,1,1.0,complete
FL,2021,21538187,1126993937.6,1110731171.6,4395438.0,958629393.0,37452535.0,24045399.0,46512869.6,44090975.0,10120376.0,52.325385493217226,149608770.7274422,6.946210037429901,,,,,,,,,,,,,1,1.0,complete
