FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
600562,alameda,Alameda,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
600562,alameda,Alameda,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
602000,anaheim,Anaheim,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
602252,antioch,Antioch,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
603526,bakersfield,Bakersfield,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
603666,baldwin park,Baldwin Park,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6261845524.8,433.0,18100187920.010002,1861.0,142000000.0,2.0,3367769095.04,160.0,19480000.0,40.0,0.0,0.0
606000,berkeley,Berkeley,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24516862920.010002,2521.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30122792920.010002,3021.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40127962920.01,3389.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53382122920.01,3774.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
606000,berkeley,Berkeley,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67289666920.01,4055.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
611194,carlsbad,Carlsbad,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2024,13254160000.0,385,53401602920.01,3814,9321835000.0,87.0,23114984095.04,450.0,13254160000.0,385.0,53401602920.01,3814.0,9321835000.0,87.0,23114984095.04,450.0,0.0,0.0,0.0,0.0
611530,carson,Carson,CA,2025,13907544000.0,281,67309146920.01,4095,8331414000.0,61.0,31446398095.04,511.0,13907544000.0,281.0,67309146920.01,4095.0,8331414000.0,61.0,31446398095.04,511.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2013,27855000.0,1,27855000.0,1,0.0,0.0,0.0,0.0,27855000.0,1.0,27855000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2014,301333429.25,6,329188429.25,7,301333429.25,6.0,301333429.25,6.0,301333429.25,6.0,329188429.25,7.0,301333429.25,6.0,301333429.25,6.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2015,444732647.79,98,773921077.04,105,5722647.79,3.0,307056077.04,9.0,444732647.79,98.0,773921077.04,105.0,5722647.79,3.0,307056077.04,9.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2016,1742349922.92,179,2516270999.96,284,484108018.0,31.0,791164095.04,40.0,1742349922.92,179.0,2516270999.96,284.0,484108018.0,31.0,791164095.04,40.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2017,4002221001.25,450,6518492001.21,734,1262310000.0,32.0,2053474095.04,72.0,4002221001.25,450.0,6518492001.21,734.0,1262310000.0,32.0,2053474095.04,72.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2018,1758445000.0,227,8276937001.21,961,535765000.0,44.0,2589239095.04,116.0,1758445000.0,227.0,8276937001.21,961.0,535765000.0,44.0,2589239095.04,116.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2019,3561405394.0,467,11838342395.21,1428,636530000.0,42.0,3225769095.04,158.0,3561405394.0,467.0,11838342395.21,1428.0,636530000.0,42.0,3225769095.04,158.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2020,6281325524.8,473,18119667920.010002,1901,142000000.0,2.0,3367769095.04,160.0,6281325524.8,473.0,18119667920.010002,1901.0,142000000.0,2.0,3367769095.04,160.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2021,6416675000.0,660,24536342920.010002,2561,2282690000.0,47.0,5650459095.04,207.0,6416675000.0,660.0,24536342920.010002,2561.0,2282690000.0,47.0,5650459095.04,207.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2022,5605930000.0,500,30142272920.010002,3061,1490010000.0,71.0,7140469095.04,278.0,5605930000.0,500.0,30142272920.010002,3061.0,1490010000.0,71.0,7140469095.04,278.0,0.0,0.0,0.0,0.0
612048,cathedral city,Cathedral,CA,2023,10005170000.0,368,40147442920.01,3429,6652680000.0,85.0,13793149095.04,363.0,10005170000.0,368.0,40147442920.01,3429.0,6652680000.0,85.0,13793149095.04,363.0,0.0,0.0,0.0,0.0
